NAME,P9_001N,P9_002N
Geographic Area Name," !!Total:"," !!Total:!!Hispanic or Latino"
"Knightsen CDP, California",1596,587
"Knights Ferry CDP, California",112,10
"Knights Landing CDP, California",1117,780
"La Cañada Flintridge city, California",20573,1717
"La Crescenta-Montrose CDP, California",19997,2708
"La Cresta CDP, California",8787,6291
"Ladera CDP, California",1557,105
"Ladera Heights CDP, California",6654,506
"Ladera Ranch CDP, California",26170,3607
"Lafayette city, California",25391,2075
"La Grange CDP, California",166,51
"Laguna Beach city, California",23032,2155
"Laguna Hills city, California",31374,7489
"Laguna Niguel city, California",64355,10510
"Laguna Woods city, California",17644,939
"Lagunitas-Forest Knolls CDP, California",1924,154
"La Habra city, California",63097,37439
"La Habra Heights city, California",5682,1813
"La Honda CDP, California",979,148
"Lake Almanor Country Club CDP, California",451,30
"Lake Almanor Peninsula CDP, California",366,19
"Lake Almanor West CDP, California",211,2
"Lake Arrowhead CDP, California",12401,3022
"Lake California CDP, California",3377,374
"Lake City CDP, California",71,4
"Lake Davis CDP, California",72,3
"Lake Don Pedro CDP, California",1765,303
"Lake Elsinore city, California",70265,35854
"Lake Forest city, California",85858,21945
"Lakehead CDP, California",469,25
"Lake Hughes CDP, California",544,126
"Lake Isabella CDP, California",3573,522
"Lakeland Village CDP, California",12364,6581
"Lake Los Angeles CDP, California",13187,8511
"Lake Mathews CDP, California",5972,2394
"Lake Nacimiento CDP, California",2956,492
"Lake of the Pines CDP, California",4301,387
"Lake of the Woods CDP, California",790,162
"Lakeport city, California",5026,934
"Lake Riverside CDP, California",1375,300
"Lake San Marcos CDP, California",5328,686
"Lake Shastina CDP, California",2401,255
"Lake Sherwood CDP, California",1759,121
"Lakeside CDP (Kern County), California",843,241
"Lakeside CDP (San Diego County), California",21152,5325
"Lakeview CDP, California",1977,1413
"Lake Wildwood CDP, California",5158,455
"Lakewood city, California",82496,29482
"La Mesa city, California",61121,15686
"La Mirada city, California",48008,20652
"Lamont CDP, California",14049,13451
"Lanare CDP, California",540,496
"Lancaster city, California",173516,78338
"La Palma city, California",15581,2939
"La Porte CDP, California",65,2
"La Presa CDP, California",35033,17999
"La Puente city, California",38062,31080
"La Quinta city, California",37558,12852
"La Riviera CDP, California",11252,2357
